First_author;Last_author;Journal;Publication_year;Gene_number;List up;Technology;Cancer;Comments;Title;Doi
L Pu;C Zhang;International Immunopharmacology;2025;3;HM13, CSTB, CDCA7L;TCGA dataset and validated in the GSE140082 dataset;Liver;Machine learning Mendelian randomization. To obtain significantly differentially expressed TLSGs, we first obtained6777 TLSGs from the Genecards database. Then limma package.;"Genetic association of tertiary lymphoid structure-related gene signatures with HCC based on Mendelian randomization and machine learning and construction of prognosis model
";https://doi.org/10.1016/j.intimp.2024.113594
X Liu;G Dong;Biomedicines;2024;6;TIGIT, ICOS, FBLN7, CCL8, PDCD1, CCL2;TCGA dataset;Colorectal;Machine learning These genes are PDCD1, CCL2, and ICOS. The RiskScore calculation follows this formula: RisksScore = (0.297 × PDCD1 exp) + (0.26 × CCL2 exp) + (-0.537 × ICOS exp).;"Multi-Algorithm-Integrated Tertiary Lymphoid Structure Gene Signature for Immune Landscape Characterization and Prognosis in Colorectal Cancer Patients
";https://doi.org/10.3390/biomedicines12112644
Z Xu;W Wang;Front. Oncology;2024;14;IGHG1, MMP1, NOTUM, CXCL5, CCL21, CCL19, MRC1, VSIG4, PRRX1, CD8A, SELL, FHL1, CAVIN2, NEXN;TCGA dataset, HMDB and miRWalk databases;Colorectal;Machine learning ;"Exploiting tertiary lymphoid structures gene signature to evaluate tumor microenvironment infiltration and immunotherapy response in colorectal cancer
";https://doi.org/10.3389/fonc.2024.1383096
J-X Lei;F Gao;Int J Surg;2024;9;TNS1, SFRP2, GAS1, DPT, CXCL11, UBD, IGLV3-19, MMP1, IGHG2;TCGA dataset and GEO;Colorectal;"MAchine learning ; The TLSscore formula is as follows: (0.1272 * TNS1) + (0.0507 * SFRP2) + (−0.0176 * DPT) + (0.0075 * GAS1) + (−0.0731 * CXCL11) + (−0.0219 * UBD) + (−0.0345 * IGLV3-19) + (−0.0721 * MMP1) + (−0.0127 * IGHG2).";Deciphering tertiary lymphoid structure heterogeneity reveals prognostic signature and therapeutic potentials for colorectal cancer: a multicenter retrospective cohort study;10.3389/fonc.2024.1383096
Z Gong;W Wang;Transl Cancer Res.;2024;7;CCL19, CCL21, CXCL13, CCR7, CXCR5, SELL, LAMP3;TCGA dataset with HE slide and other dataset including single cell;Lung;The other signature genes derived from reported literature were as follows: TLS (CCL19, CCL21, CXCL13, CCR7, CXCR5, SELL, and LAMP3);;10.21037/tcr-24-1746
Y Liu;R Peng Liang;World J Oncol;2024;6;CETP, DNASE1L3, PLAC8, SKAP1, C7, VNN2;TCGA dataset;Liver;"Machine learning; TLS score = Expression (CETP) × 0.068656 + Expression (DNASE1L3) × (-0.264498) + Expression (PLAC8) × 0.149993 + Expression (SKAP1) × (-0.137136) + Expression(C7) × (-0.026918) + Expression(VNN2) × 0.094023";"Identification and Validation of a Novel Tertiary Lymphoid Structures-Related Prognostic Gene Signature in Hepatocellular Carcinoma
";38993245
M Jiao;R Liu;J Clin Invest.;2025;18;CXCR5, CCR7, CD79B, CCL18, CCL21, CXCR4, CCL5, CXCL9, CXCL10, CCL19, CXCL13, SELL, CD86, LTB, CD40, LAMP3, BCL6, CCL2;TCGA dataset;Lung;We constructed a signature from a compendium of TLS signature genes;"ACAT1 regulates tertiary lymphoid structures and correlates with immunotherapy response in non–small cell lung cancer
";10.1172/JCI191094
Y Hua;Y Gao;Journal of Bio-X Research;2025;8;CXCL13, SDC1, SGPP2, TIGIT, CXCL9, IL2RA, CD200, CCL21;TCGA dataset;Gastric;Regression on OS;"Construction of a Tertiary Lymphoid Structure Gene Signature in Gastric Cancer and Its Predictive Value for the Tumor Microenvironment and Immunotherapy
";10.34133/jbioxresearch.0036
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
